# t,x,y,vx,vy,distance_moon
0.000000000000000000e+00,6.371000000000000000e+06,0.000000000000000000e+00,1.115200000000000000e+04,0.000000000000000000e+00,3.780289999977025390e+08
3.997434904073110529e-02,6.371445786094989628e+06,9.889295303827207632e-16,1.115160748179167967e+04,7.421735216130836852e-14,3.780285542116075754e+08
4.397178394480421582e-01,6.375902784480994567e+06,1.316288466177583570e-12,1.114768531816810901e+04,8.980511163106660981e-12,3.780240972132259607e+08
4.437152743521153297e+00,6.420386955493432470e+06,1.352751557233477720e-09,1.110876281688790368e+04,9.146666602046961994e-10,3.779796130426642895e+08
4.441150178425226613e+01,6.857062920996906236e+06,1.358608210860656340e-06,1.074697973275100048e+04,9.182547267702842693e-08,3.775429371254928708e+08
9.321264516362629138e+01,7.371916162138663232e+06,1.258292261213343788e-05,1.036234886652307432e+04,4.053923654886527334e-07,3.770280840669378638e+08
1.474164942308381114e+02,7.923334291731882840e+06,4.985794364333049532e-05,9.992626767513997038e+03,1.016122731700056296e-06,3.764766663288801908e+08
2.078291254216870527e+02,8.515981176049951464e+06,1.399476273256136498e-04,9.635914301936889387e+03,2.023986256999841640e-06,3.758840201544337273e+08
2.751521308777879540e+02,9.152837992699172348e+06,3.253453548719544095e-04,9.291797572711697285e+03,3.555702612523486110e-06,3.752471645200764537e+08
3.501754905998898266e+02,9.837187773900013417e+06,6.719096453928659340e-04,8.959825146751976717e+03,5.773105760530104111e-06,3.745628166099686623e+08
4.337788703854207597e+02,1.057255032433177903e+07,1.279832240518636536e-03,8.639563631274095314e+03,8.882468938903342699e-06,3.738274569212868214e+08
5.269421064269961335e+02,1.136270207396347634e+07,2.299407398152717667e-03,8.330595178881310858e+03,1.314642051956908632e-05,3.730373094429649115e+08
6.307563967557892965e+02,1.221169296570222452e+07,3.953623070950508349e-03,8.032517262505780309e+03,1.889903995048645451e-05,3.721883248108969331e+08
7.464365853882034116e+02,1.312386339638364501e+07,6.570439586071169860e-03,7.744942577021127363e+03,2.656499657097596134e-05,3.712761634250342250e+08
8.753344528500792876e+02,1.410385989698979631e+07,1.062879951613985435e-02,7.467499281147982401e+03,3.668381045311122548e-05,3.702961798477997780e+08
1.018952752683468020e+03,1.515664731654841639e+07,1.682405569784457475e-02,7.199831789373517495e+03,4.994057776215000494e-05,3.692434107264426351e+08
1.178959370876479625e+03,1.628751339997657016e+07,2.616076655143372010e-02,6.941602436255296197e+03,6.720479151433618589e-05,3.681125703584125638e+08
1.357200350302137167e+03,1.750205866714606807e+07,4.008385499742180003e-02,6.692494449028708004e+03,8.957915756006809181e-05,3.668980610045889616e+08
1.555709540629104367e+03,1.880616044814056158e+07,6.066308879196355419e-02,6.452216686482318437e+03,1.184604630751004829e-04,3.655940091106465459e+08
1.776711456241013138e+03,2.020589632389682531e+07,9.085073088441388001e-02,6.220510286151829860e+03,1.556144696893500400e-04,3.641943422057590485e+08
2.022613413291685902e+03,2.170741434189994633e+07,1.348379223181635500e-01,5.997156230049753503e+03,2.032664313774989497e-04,3.626929191300435066e+08
2.295985484996504510e+03,2.331675677796745673e+07,1.985421333314357772e-01,5.781980324815114727e+03,2.642086443505638877e-04,3.610837068434344530e+08
2.599535998878464397e+03,2.503969542545149103e+07,2.902681693706591348e-01,5.574848404463436054e+03,3.419281881569816097e-04,3.593609458651639819e+08
2.936107674971172855e+03,2.688171486682448164e+07,4.216063465446799885e-01,5.375642533101021399e+03,4.407650788728723979e-04,3.575191679415998459e+08
3.308735498638591253e+03,2.884832385781789199e+07,6.086773522725246188e-01,5.184214583680328360e+03,5.661257432815318142e-04,3.555528859181078672e+08
3.720799061040749166e+03,3.094577738190251216e+07,8.739150740926263650e-01,5.000329571239246434e+03,7.247942674106489219e-04,3.534558734484843612e+08
